member_id,soort,url
4383,Website,https://www.hannesanaf.be
4383,Facebook,https://www.facebook.com/hannes.anaf
4383,Twitter,https://twitter.com/hannesanaf
4606,Facebook,https://www.facebook.com/debbyburssenspvda
4601,Facebook,https://www.facebook.com/AwoutersMichiel/
4601,Twitter,https://x.com/AwoutersMichiel
4384,Facebook,https://www.facebook.com/p/Roosmarijn-Beckers-100058223972889/
4384,Twitter,https://twitter.com/@BRoosmarijn
4388,Twitter,https://twitter.com/YvesBuysse
4387,Facebook,https://www.facebook.com/Filip-Brusselmans-209799696641499
4387,Twitter,https://twitter.com/Filip_Bru
3430,Website,http://www.bothuyne.be
3430,Facebook,https://www.facebook.com/robrecht.bothuyne
3430,Twitter,https://twitter.com/RobrechtB
4386,Facebook,https://www.facebook.com/ABlancquaert
4386,Twitter,https://twitter.com/A_Blancquaert
4650,Facebook,https://www.facebook.com/Inge.Brocken.pagina
4607,Website,https://www.kimbuyst.be
4607,Facebook,https://www.facebook.com/buystkim/
4607,Instagram,https://www.instagram.com/kimbuyst/
4607,LinkedIn,https://www.linkedin.com/in/kim-buyst-76163b130/
4658,Website,https://www.jurgencallaerts.be
4658,Facebook,https://www.facebook.com/jcallaerts
4114,Website,https://www.anchristiaens.be
4114,Facebook,https://www.facebook.com/an.christiaens.5
4114,Twitter,https://twitter.com/AnTongeren
4390,Facebook,https://www.facebook.com/claesbart
4390,Twitter,https://twitter.com/claesbart
4609,Facebook,https://www.facebook.com/colebunders.gaby
4609,Twitter,https://www.twitter.com/@ColebundersGaby
4609,Instagram,https://www.instagram.com/gabypvda
4610,Website,https://www.evadebleeker.be
4610,Facebook,https://www.facebook.com/
4610,Twitter,https://x.com/evadebleeker
4610,Instagram,https://www.instagram.com/eva.de.bleeker/
4661,Facebook,https://www.facebook.com/KrisDeclercqVANRSL/
4661,Instagram,https://www.instagram.com/kris_declercq/
4661,LinkedIn,https://www.linkedin.com/in/kris-declercq-206603/
4070,Website,https://www.koendaniels.be
4070,Facebook,https://www.facebook.com/danielskoenvp
4070,Twitter,https://twitter.com/koendaniels
2838,Website,https://www.johandeckmyn.be
2838,Facebook,https://www.facebook.com/johandeckmyn
2838,Twitter,https://twitter.com/johandeckmyn
4432,Facebook,https://www.facebook.com/immanuel.dereuse
4525,Website,https://www.stijnderoo.be
4525,Facebook,https://www.facebook.com/Stijn-De-Roo-251722678703408
4525,Twitter,https://twitter.com/stijn_dr
2791,Website,http://www.kurtdeloor.be
2791,Facebook,https://www.facebook.com/kurt.deloor
4395,Website,https://www.stephaniedhose.be
4395,Facebook,https://www.facebook.com/stephanie.dhose
4615,Website,https://www.koendillen.be
4615,Facebook,https://www.facebook.com/p/Koen-Dillen-100068645800270/?locale=nl_NL
4615,Instagram,https://www.instagram.com/koen.dillen1
4074,Facebook,https://www.facebook.com/Guy-Dhaeseleer-1070595116362186
4074,Twitter,https://twitter.com/GuydhaeseleerVB
4411,Facebook,https://www.facebook.com/DHaeseJ
4411,Twitter,https://twitter.com/JosDHaese
4659,Facebook,https://www.facebook.com/ManuDiericx/
4659,Twitter,https://x.com/manudiericx
4659,Instagram,https://www.instagram.com/manudiericx/
1803,Website,http://www.filipdewinter.be
1803,Facebook,https://www.facebook.com/fdwvb
1803,Twitter,https://twitter.com/fdw_vb
4075,Website,https://www.bartdochy.be
4075,Facebook,https://www.facebook.com/dochybart
4075,Twitter,https://twitter.com/BartDochy
4738,Facebook,https://www.facebook.com/people/An-Hermans/61556312337358/
4397,Website,https://www.hanneloregoeman.be
4397,Facebook,https://www.facebook.com/hanneloregoeman
4397,Twitter,https://twitter.com/HanneloreGoeman
3445,Website,http:// https://www.marc-hendrickx.be
3445,Facebook,https://www.facebook.com/marc.hendrickx.7165
3445,Twitter,https://twitter.com/marc_hendrickx
4399,Website,https://www.karolien-grosemans.be
4617,Instagram,https://www.instagram.com/aimenhorch/?hl=en
4617,LinkedIn,https://www.linkedin.com/in/aimen-horch-a639a6109/
4077,Website,https://www.andriesgryffroy.be
4077,Facebook,https://www.facebook.com/Andries Gryffroy
4077,Twitter,https://twitter.com/Andries Gryffroy
4619,Instagram,https://www.instagram.com/bram_jaques/
4618,Website,https://www.katrienhoutmeyers.be/
4618,Facebook,https://www.facebook.com/katrien.houtmeyers
4618,Instagram,https://www.instagram.com/katrienhoutmeyers/
3411,Website,http://www.liesbethhomans.be
3411,Facebook,https://www.facebook.com/homansliesbeth/
3411,Twitter,https://twitter.com/LiesbethHomans
4078,Website,https://www.sofiejoosen.be
4400,Twitter,https://twitter.com/janlaeremans
4621,Website,https://tomlamont.org/
4621,Facebook,https://www.facebook.com/tomlamontvb/
4621,Twitter,https://x.com/TomLamont_
4621,Instagram,https://www.instagram.com/tomlamont_/
3418,Facebook,https://www.facebook.com/chrisjanssensVB
3418,Twitter,https://twitter.com/chrisjanssensVB
4622,Facebook,https://www.facebook.com/SanderLoonesNVA
4622,Twitter,https://x.com/SanderLoones
4622,Instagram,https://www.instagram.com/@sander_loones
3965,Website,http://www.egbertlachaert.be
3965,Facebook,https://www.facebook.com/egbert.lachaert
3965,Twitter,https://twitter.com/egbertlachaert
3965,Instagram,https://www.instagram.com/egbertlachaert
4110,Website,https://www.bertmaertens.be
4110,Facebook,https://www.facebook.com/bert.maertens
4110,Instagram,https://www.instagram.com/bertmaertens/
4625,Instagram,https://www.instagram.com/_nadianaji
4572,Website,https://www.sofiemertens.be
4572,Facebook,https://www.facebook.com/mertensssofie
4572,Instagram,https://www.instagram.com/mertens.sofie
4445,Facebook,https://www.facebook.com/tom ongena
4445,Twitter,https://twitter.com/tomongena
4059,Website,https://katrien-partyka.be
4059,Facebook,https://www.facebook.com/PartykaKatrien/
4059,Twitter,https://twitter.com/katparty
4059,Instagram,https://www.instagram.com/katrien_partyka
3461,Website,https://www.philippemuyters.be
3461,Facebook,https://www.facebook.com/muytersphilippe
3461,Twitter,https://twitter.com/philippemuyters
4627,Website,http://www.jasperpillen.be
4627,Facebook,https://www.facebook.com/jasperpillen.openvld
4627,Twitter,https://x.com/JasperPillen
4627,Instagram,https://www.instagram.com/jasperpillen/
4651,Facebook,https://facebook.com/andypieters
4651,Twitter,https://x.com/andypieters
4651,Instagram,https://www.instagram.com/andypieters3630/
4405,Website,https://www.freyaperdaens.be/
4405,Facebook,https://www.facebook.com/FreyaPerdaens
4405,Twitter,https://twitter.com/FPerdaens
4405,Instagram,https://www.instagram.com/freyaperdaens/
3446,Website,https://www.lydiapeeters.be
3446,Facebook,https://www.facebook.com/Lydia Peeters
3446,Twitter,https://twitter.com/Lydiapeeters
4628,Website,https://www.groen.be/eva-platteau
4628,Facebook,https://www.facebook.com/EvaPlatteauGroen/
4628,Instagram,https://www.instagram.com/eva_platteau/
4628,LinkedIn,https://www.linkedin.com/in/evaplatteau/
4628,Bluesky,https://bsky.app/profile/evaplatteau.bsky.social
4631,Website,http://www.krispoelaert.be
4631,Facebook,https://www.facebook.com/p/Kris-Poelaert-100063941850186/
4631,Instagram,https://www.instagram.com/krispoelaert/
4406,Website,https://www.conner.be
4406,Facebook,https://www.facebook.com/connerousseau/
4406,Instagram,https://www.instagram.com/connerrousseau/kingconnah/#
4632,Facebook,https://www.facebook.com/RoggemanTomas/
4632,Twitter,https://x.com/TRoggeman
3221,Website,http://www.elsrobeyns.be
3221,Facebook,https://www.facebook.com/erobeyns
3221,Twitter,https://twitter.com/elsrobeyns
4061,Website,http://www.gwendolynrutten.be
4061,Facebook,https://www.facebook.com/Gwendolyn Rutten
4061,Twitter,http://twitter.com/Ruttengwendolyn
4408,Facebook,https://www.facebook.com/RyheulC/
4408,Twitter,https://twitter.com/CarmenRyheul
4634,Website,https://www.evaryde.be/
4634,Facebook,https://www.facebook.com/EvaRydeNVA/
4634,Instagram,https://www.instagram.com/evaryde/
4634,LinkedIn,https://www.linkedin.com/in/eva-ryde
4634,YouTube,https://www.youtube.com/EvaRydeVideos
4409,Website,https://www.groen.be/mieke-schauvliege
4409,Facebook,https://www.facebook.com/miekeschauv/
4409,Instagram,https://www.instagram.com/miekeschauvliege
4637,Instagram,https://www.instagram.com/sioensioen
4635,Facebook,https://www.facebook.com/tom.seurs
4087,Website,http://www.s-p-a.be/mandataris/segerskatia
4087,Facebook,https://www.facebook.com/Katia Segers
4087,Twitter,https://twitter.com/katia.segers
4410,Facebook,https://www.facebook.com/KSlagmulder/
4410,Twitter,https://twitter.com/kslagmulder
4412,Facebook,https://www.facebook.com/klaas.slootmans
4412,Twitter,https://twitter.com/KlaasSlootmans
4413,Website,https://www.sarahsmeyers.be
4413,Twitter,https://twitter.com/SarahSmeyers
4416,Facebook,https://www.facebook.com/els.sterckx.54
3433,Website,http://www.katrienschryvers.be
3433,Facebook,https://www.facebook.com/katrien.schryvers
3433,Twitter,https://twitter.com/Katrien Schryvers
4089,Website,https://www.nadiasminate.be
4089,Facebook,https://www.facebook.com/nadia.sminate
4089,Twitter,https://twitter.com/nadiasminate
4648,Facebook,https://www.facebook.com/tombeurine/
4648,Instagram,https://www.instagram.com/inetombeur/?hl=nl
4648,LinkedIn,https://be.linkedin.com/in/ine-tombeur-271b6b4a
4415,Facebook,https://www.facebook.com/Lise-Vandecasteele-2433030616715564/
4415,Twitter,https://twitter.com/LiseVDC
4422,Website,https://www.mauritsvdr.be
4422,Facebook,https://www.facebook.com/mauritsvdr
4422,Twitter,https://twitter.com/mauritsvdr
4422,Instagram,https://www.instagram.com/mauritsvandereyde
4728,Facebook,https://www.facebook.com/lien.vandooren
4728,Instagram,https://www.instagram.com/van_dooren_lien/
3458,Facebook,https://www.facebook.com/freyavandenbossche
3458,Instagram,https://www.instagram.com/freyavandenbossche/
4095,Website,http://www.ankevandermeersch.be
4095,Facebook,https://www.facebook.com/ankevandermeerschVB
4095,Twitter,https://twitter.com/anke_online
4425,Website,https://www.loesvandromme.be/
4425,Facebook,https://www.facebook.com/loes.vandromme
4425,Twitter,https://twitter.com/LoesVandromme
4740,Facebook,https://www.facebook.com/p/Tina-Van-Havere-Vooruit-Beveren-Kruibeke-Zwijndrecht-61556575171621/
4740,Instagram,https://www.instagram.com/tinavanhavere/
4740,LinkedIn,https://www.linkedin.com/in/tina-van-havere-59bba912/
4426,Website,https://www.groen.be/jeremie_vaneeckhout
4426,Facebook,https://www.facebook.com/jeremie.vaneeckhout
4426,Twitter,https://twitter.com/JeremieVaneeckh
4644,Facebook,https://www.facebook.com/sanne.vanlooy.7
4644,Twitter,https://x.com/sanne_van_looy
4644,Instagram,https://www.instagram.com/sanne_van_looy/
4098,Website,http://www.tomvangrieken.be
4098,Facebook,https://www.facebook.com/tomvangrieken
4098,Twitter,https://twitter.com/tomvangrieken
4098,Instagram,https://www.instagram.com/vangriekentom/
4102,Website,https://www.karlvanlouwe.be
4102,Facebook,https://www.facebook.com/karlvanlouwe
4102,Twitter,https://twitter.com/karlvanlouwe
4643,Facebook,https://www.facebook.com/p/Bart-Van-Opstal-100028733067208/
4643,Twitter,http://www.x.com/@bart_opstal
4643,Instagram,https://www.instagram.com/opstalbartvan
4064,Website,https://www.paulvanmiert.be
4064,Facebook,https://www.facebook.com/paul.van.miert
4064,Twitter,https://twitter.com/VanMiertPaul
4641,Facebook,https://www.facebook.com/profile.php?id=100063618987080
4633,Facebook,https://www.facebook.com/griet.vanryckegem/
4633,Twitter,https://www.x.com/griet_vanryck
4633,Instagram,https://www.instagram.com/griet.vanryckegem
4630,Facebook,https://www.facebook.com/VerduycktKris/
4630,Instagram,https://www.instagram.com/kris_verduyckt/
4624,Website,https://biekeverlinden.be
4624,Facebook,https://www.facebook.com/verlindenbieke
4624,Instagram,https://www.instagram.com/bieke_verlinden
4433,Facebook,https://www.facebook.com/people/Wim-Verheyden
3918,Website,http://www.petervanrompuy.be
3918,Facebook,https://www.facebook.com/VanRompuyPeter
3918,Instagram,https://www.instagram.com/peter.vanrompuy/
3918,LinkedIn,https://www.linkedin.com/in/peter-van-rompuy-596915/
4443,Website,https://www.brechtwarnez.be
4443,Facebook,https://www.facebook.com/warnez.brecht
4443,Twitter,https://x.com/bwarnez
4443,Instagram,https://www.instagram.com/brechtwarnez/?hl=nl
4429,Facebook,https://www.facebook.com/suzywoutersvb/
